# Digitized from Liu et al. (2024), Nonlinear Dynamics 112:21701-21728,
# Fig. 11 (p. 21717). NOT the authors' data: these values were recovered
# from the published raster by color-keyed pixel extraction and carry a
# reading uncertainty of roughly two pixels. Per-panel pixel resolution:
#   panel a (x_R): 0.03429 m / px
#   panel b (y_ddot_L): 0.4762 m/s^2 / px
#   panel c (gamma_dot): 0.2353 deg/s / px
# Quote to no more than two significant figures.
panel,quantity,unit,series,t_s,value

a,x_R,m,adams,0.012891,0.0

a,x_R,m,adams,0.029297,0.017143

a,x_R,m,adams,0.045703,0.051429

a,x_R,m,adams,0.059766,0.102857

a,x_R,m,adams,0.062109,0.102857

a,x_R,m,adams,0.076172,0.154286

a,x_R,m,adams,0.090234,0.222857

a,x_R,m,adams,0.092578,0.24

a,x_R,m,adams,0.106641,0.308571

a,x_R,m,adams,0.120703,0.394286

a,x_R,m,adams,0.123047,0.394286

a,x_R,m,adams,0.134766,0.497143

a,x_R,m,adams,0.137109,0.514286

a,x_R,m,adams,0.151172,0.617143

a,x_R,m,adams,0.162891,0.737143

a,x_R,m,adams,0.165234,0.737143

a,x_R,m,adams,0.176953,0.857143

a,x_R,m,adams,0.179297,0.874286

a,x_R,m,adams,0.191016,0.994286

a,x_R,m,adams,0.202734,1.131429

a,x_R,m,adams,0.205078,1.148571

a,x_R,m,adams,0.216797,1.268571

a,x_R,m,adams,0.228516,1.422857

a,x_R,m,adams,0.230859,1.422857

a,x_R,m,adams,0.240234,1.577143

a,x_R,m,adams,0.242578,1.594286

a,x_R,m,adams,0.251953,1.731429

a,x_R,m,adams,0.254297,1.731429

a,x_R,m,adams,0.263672,1.902857

a,x_R,m,adams,0.266016,1.902857

a,x_R,m,adams,0.275391,2.057143

a,x_R,m,adams,0.277734,2.074286

a,x_R,m,adams,0.287109,2.228571

a,x_R,m,adams,0.296484,2.417143

a,x_R,m,adams,0.298828,2.417143

a,x_R,m,adams,0.308203,2.571429

a,x_R,m,adams,0.310547,2.588571

a,x_R,m,adams,0.317578,2.76

a,x_R,m,adams,0.319922,2.76

a,x_R,m,adams,0.329297,2.948571

a,x_R,m,liu,0.001172,0.0

a,x_R,m,liu,0.003516,0.0

a,x_R,m,liu,0.005859,0.0

a,x_R,m,liu,0.008203,0.0

a,x_R,m,liu,0.010547,0.017143

a,x_R,m,liu,0.017578,0.017143

a,x_R,m,liu,0.019922,0.017143

a,x_R,m,liu,0.022266,0.017143

a,x_R,m,liu,0.024609,0.017143

a,x_R,m,liu,0.033984,0.034286

a,x_R,m,liu,0.036328,0.034286

a,x_R,m,liu,0.038672,0.034286

a,x_R,m,liu,0.041016,0.051429

a,x_R,m,liu,0.048047,0.085714

a,x_R,m,liu,0.050391,0.068571

a,x_R,m,liu,0.052734,0.068571

a,x_R,m,liu,0.055078,0.085714

a,x_R,m,liu,0.057422,0.085714

a,x_R,m,liu,0.064453,0.12

a,x_R,m,liu,0.066797,0.12

